accuracy,artifact_dir,average_precision,backup_mode,backup_reliability,backup_weighted_f1,dataset,fake_recall,macro_f1,mode,notes,one_class_predicted,pred_fake,pred_real,rank,real_recall,recall_balance_gap,reliability,roc_auc,severe_collapse,table,true_fake,true_real,warning_level,weighted_f1,winner_artifact_dir,winner_mode,winner_reliability,winner_weighted_f1
0.5,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter15/tda_only,0.645658555803784,,,,twitter15,1.0,0.3333,tda_only,collapse; not eligible for final ranking,True,,,,0.0,1.0,FAILED / UNRELIABLE,0.6625420941342313,True,main_results,,,,0.3333333333333333,,,,
0.8230088495575221,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter15/text_only,0.8943808628988615,,,,twitter15,0.7965,0.8229,text_only,BEST IN DATASET,False,,,,0.8496,0.053100000000000036,VALID,0.9019500352416008,False,main_results,,,,0.8228840125391849,,,,
0.8097345132743363,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter15/hybrid,0.8697379704177757,,,,twitter15,0.7611,0.8093,hybrid,—,False,,,,0.8584,0.09730000000000005,VALID,0.8955282324379357,False,main_results,,,,0.809282700421941,,,,
0.496,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter16/tda_only,0.4719093134162772,,,,twitter16,0.127,0.4171,tda_only,class imbalance warning,False,,,,0.871,0.744,WEAK BUT USABLE,0.4521249359959038,False,main_results,,,,0.41533910726182544,,,,
0.792,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter16/text_only,0.9089095607317615,,,,twitter16,0.9048,0.789,text_only,—,False,,,,0.6774,0.22740000000000005,VALID,0.9183307731694829,False,main_results,,,,0.7891636363636363,,,,
0.824,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter16/hybrid,0.874661014038806,,,,twitter16,0.8413,0.8239,hybrid,BEST OVERALL; BEST IN DATASET,False,,,,0.8065,0.03480000000000005,VALID,0.9093701996927803,False,main_results,,,,0.8239323770491803,,,,
0.5263157894736842,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/pheme/tda_only,0.5406892282178889,,,,pheme,0.8974,0.4389,tda_only,BEST IN DATASET; class imbalance warning,False,,,,0.1351,0.7623,WEAK BUT USABLE,0.5498960498960498,False,main_results,,,,0.44471309528949526,,,,
0.5131578947368421,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/pheme/text_only,0.4747512132921327,,,,pheme,0.0,0.3391304347826087,text_only,collapse; not eligible for final ranking,True,,,,1.0,1.0,FAILED / UNRELIABLE,0.42688842688842693,True,main_results,,,,0.3480549199084668,,,,
0.4868421052631579,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/pheme/hybrid,0.5307897267609935,,,,pheme,0.0,0.3274,hybrid,collapse; not eligible for final ranking,True,,,,1.0,1.0,FAILED / UNRELIABLE,0.5176715176715176,True,main_results,,,,0.31881695388914766,,,,
,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter16/hybrid,,,,,twitter16,,0.8239,hybrid,,,,,1,,0.03480000000000005,VALID,,,reliable_only_ranking,,,,0.8239323770491803,,,,
,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter15/text_only,,,,,twitter15,,0.8229,text_only,,,,,2,,0.053100000000000036,VALID,,,reliable_only_ranking,,,,0.8228840125391849,,,,
,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter15/hybrid,,,,,twitter15,,0.8093,hybrid,,,,,3,,0.09730000000000005,VALID,,,reliable_only_ranking,,,,0.809282700421941,,,,
,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter16/text_only,,,,,twitter16,,0.789,text_only,,,,,4,,0.22740000000000005,VALID,,,reliable_only_ranking,,,,0.7891636363636363,,,,
,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/pheme/tda_only,,,,,pheme,,0.4389,tda_only,,,,,5,,0.7623,WEAK BUT USABLE,,,reliable_only_ranking,,,,0.44471309528949526,,,,
,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter16/tda_only,,,,,twitter16,,0.4171,tda_only,,,,,6,,0.744,WEAK BUT USABLE,,,reliable_only_ranking,,,,0.41533910726182544,,,,
,,,hybrid,VALID,0.809282700421941,twitter15,,,,,,,,,,,,,,per_dataset_winners,,,,,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter15/text_only,text_only,VALID,0.8228840125391849
,,,text_only,VALID,0.7891636363636363,twitter16,,,,,,,,,,,,,,per_dataset_winners,,,,,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/twitter16/hybrid,hybrid,VALID,0.8239323770491803
,,,None recommended,NA,,pheme,,,,,,,,,,,,,,per_dataset_winners,,,,,/home/ubuntu/colab_deployment/results/final_runs/20260429T142746Z/pheme/tda_only,tda_only,WEAK BUT USABLE,0.44471309528949526
,,,,,,twitter15,1.0,,tda_only,,True,226,0,,0.0,1.0,FAILED / UNRELIABLE,,True,collapse_diagnostics,113,113,,,,,,
,,,,,,twitter15,0.7965,,text_only,,False,107,119,,0.8496,0.053100000000000036,VALID,,False,collapse_diagnostics,113,113,,,,,,
,,,,,,twitter15,0.7611,,hybrid,,False,102,124,,0.8584,0.09730000000000005,VALID,,False,collapse_diagnostics,113,113,,,,,,
,,,,,,twitter16,0.127,,tda_only,,False,16,109,,0.871,0.744,WEAK BUT USABLE,,False,collapse_diagnostics,63,62,,,,,,
,,,,,,twitter16,0.9048,,text_only,,False,77,48,,0.6774,0.22740000000000005,VALID,,False,collapse_diagnostics,63,62,,,,,,
,,,,,,twitter16,0.8413,,hybrid,,False,65,60,,0.8065,0.03480000000000005,VALID,,False,collapse_diagnostics,63,62,,,,,,
,,,,,,pheme,0.8974,,tda_only,,False,67,9,,0.1351,0.7623,WEAK BUT USABLE,,False,collapse_diagnostics,39,37,,,,,,
,,,,,,pheme,0.0,,text_only,,True,0,76,,1.0,1.0,FAILED / UNRELIABLE,,True,collapse_diagnostics,39,37,,,,,,
,,,,,,pheme,0.0,,hybrid,,True,0,76,,1.0,1.0,FAILED / UNRELIABLE,,True,collapse_diagnostics,39,37,,,,,,
,,,,,,twitter15,1.0,0.3333,tda_only,,,,,,0.0,1.0,FAILED / UNRELIABLE,,,recall_balance_warnings,,,HIGH,0.3333333333333333,,,,
,,,,,,twitter15,0.7965,0.8229,text_only,,,,,,0.8496,0.053100000000000036,VALID,,,recall_balance_warnings,,,LOW,0.8228840125391849,,,,
,,,,,,twitter15,0.7611,0.8093,hybrid,,,,,,0.8584,0.09730000000000005,VALID,,,recall_balance_warnings,,,LOW,0.809282700421941,,,,
,,,,,,twitter16,0.127,0.4171,tda_only,,,,,,0.871,0.744,WEAK BUT USABLE,,,recall_balance_warnings,,,HIGH,0.41533910726182544,,,,
,,,,,,twitter16,0.9048,0.789,text_only,,,,,,0.6774,0.22740000000000005,VALID,,,recall_balance_warnings,,,LOW,0.7891636363636363,,,,
,,,,,,twitter16,0.8413,0.8239,hybrid,,,,,,0.8065,0.03480000000000005,VALID,,,recall_balance_warnings,,,LOW,0.8239323770491803,,,,
,,,,,,pheme,0.8974,0.4389,tda_only,,,,,,0.1351,0.7623,WEAK BUT USABLE,,,recall_balance_warnings,,,HIGH,0.44471309528949526,,,,
,,,,,,pheme,0.0,0.3391304347826087,text_only,,,,,,1.0,1.0,FAILED / UNRELIABLE,,,recall_balance_warnings,,,HIGH,0.3480549199084668,,,,
,,,,,,pheme,0.0,0.3274,hybrid,,,,,,1.0,1.0,FAILED / UNRELIABLE,,,recall_balance_warnings,,,HIGH,0.31881695388914766,,,,
